time,open,high,low,close,tr,atr,hl2,basic_upper_band,basic_lower_band,ema,supertrend,trend,signal,combined_signal
2025-04-11 14:15:00,22786.15,22840.15,22762.0,22830.35,78.15000000000146,129.048278640475,22801.075,23252.743975241665,22349.406024758337,23041.224406857073,22428,1,0,0
2025-04-11 15:15:00,22831.05,23368.35,22810.95,23368.35,557.3999999999978,171.88345077642728,23089.65,23691.242077717496,22488.057922282507,23046.21869072185,22488,1,0,1
2025-04-15 09:15:00,23346.8,23346.8,23211.4,23312.1,156.9499999999971,170.39010569878425,23279.1,23875.465369945745,22682.734630054252,23050.27794735205,22683,1,0,1
2025-04-15 10:15:00,23311.95,23319.05,23292.8,23295.15,26.25,155.97609512890583,23305.925,23851.84133295117,22760.008667048827,23054.01645197263,22760,1,0,1
2025-04-15 11:15:00,23295.65,23334.5,23291.65,23332.55,42.849999999998545,144.6634856160151,23313.075,23819.397199656054,22806.752800343947,23058.268872553203,22807,1,0,1
2025-04-15 12:15:00,23333.35,23350.65,23328.25,23337.7,22.400000000001455,132.43713705441374,23339.45,23802.979979690448,22875.920020309553,23062.53499663636,22876,1,0,1
2025-04-15 13:15:00,23337.4,23340.9,23315.2,23326.05,25.700000000000728,121.76342334897245,23328.050000000003,23754.221981721406,22901.8780182786,23066.558126458705,22902,1,0,1
2025-04-15 14:15:00,23326.0,23334.9,23308.35,23321.2,26.55000000000291,112.2420810140755,23321.625,23714.472283549265,22928.777716450735,23070.445788650173,22929,1,0,1
2025-04-15 15:15:00,23320.95,23357.1,23319.75,23344.1,37.349999999998545,104.75287291266781,23338.425,23705.060055194335,22971.789944805663,23074.62371554101,22972,1,0,1
2025-04-16 09:15:00,23345.25,23372.5,23277.9,23355.8,94.59999999999854,103.73758562140088,23325.2,23688.281549674903,22962.1184503251,23078.916483242672,22972,1,0,1
2025-04-16 10:15:00,23354.7,23358.95,23274.0,23318.85,84.95000000000073,101.85882705926088,23316.475,23672.980894707413,22959.969105292585,23082.579590368736,22972,1,0,1
2025-04-16 11:15:00,23319.4,23349.6,23316.0,23341.2,33.599999999998545,95.03294435333464,23332.8,23665.41530523667,23000.184694763328,23086.527993569212,23000,1,0,1
2025-04-16 12:15:00,23341.1,23362.05,23332.75,23357.3,29.299999999999272,88.4596499180011,23347.4,23657.008774713006,23037.791225286997,23090.661917331512,23038,1,0,1
2025-04-16 13:15:00,23356.95,23430.5,23286.0,23430.5,144.5,94.063684926201,23358.25,23687.472897241703,23029.027102758297,23095.85028500584,23038,1,0,1
2025-04-16 14:15:00,23429.95,23439.15,23395.7,23424.55,43.45000000000073,89.00231643358097,23417.425000000003,23728.933107517536,23105.91689248247,23100.86860126529,23106,1,0,1
2025-04-16 15:15:00,23424.3,23452.05,23420.85,23433.3,31.200000000000728,83.22208479022295,23436.449999999997,23727.727296765777,23145.172703234217,23105.94388979559,23145,1,0,1
2025-04-17 09:15:00,23387.0,23434.55,23299.15,23353.4,135.39999999999782,88.43987631120044,23366.85,23676.3895670892,23057.310432910795,23109.721845676577,23145,1,0,1
2025-04-17 10:15:00,23352.75,23444.85,23342.3,23440.1,102.54999999999927,89.85088868008032,23393.574999999997,23708.05311038028,23079.096889619716,23114.76578696396,23145,1,0,1
2025-04-17 11:15:00,23440.95,23646.75,23439.35,23634.45,207.40000000000146,101.60579981207243,23543.05,23898.67029934225,23187.429700657747,23122.699897086644,23187,1,0,1
2025-04-17 12:15:00,23634.25,23788.65,23623.0,23788.65,165.65000000000146,108.01021983086534,23705.825,24083.86076940803,23327.78923059197,23132.86707423036,23328,1,0,1
2025-04-17 13:15:00,23787.85,23871.25,23761.7,23831.15,109.54999999999927,108.16419784777874,23816.475,24195.049692467222,23437.900307532775,23143.527882257375,23438,1,0,1
2025-04-17 14:15:00,23828.7,23871.3,23783.8,23847.0,87.5,106.09777806300086,23827.55,24198.8922232205,23456.207776779498,23154.267914589323,23456,1,0,1
2025-04-17 15:15:00,23847.2,23862.2,23831.35,23837.75,30.850000000002183,98.573000256701,23846.775,24191.780500898454,23501.76949910155,23164.702755587958,23502,1,0,1
